loan_id,loan_amount,region
163621,16000,Midwest
164027,16000,Midwest
164048,16000,Midwest
166657,16000,Midwest
166670,16000,Midwest
164290,16000,Midwest
164319,16000,Midwest
164872,16000,Midwest
167265,16000,Midwest
165017,16000,Midwest
167400,16000,Midwest
165129,16000,Midwest
165311,16000,Midwest
167900,16000,Midwest
168328,16000,Midwest
161909,16000,Midwest
168705,16000,Midwest
165805,16000,Midwest
165852,16000,Midwest
169316,16000,Midwest
162196,16000,Midwest
162558,16000,Midwest
162892,16000,Midwest
166205,16000,Midwest
163323,16000,Midwest
163806,16000,Midwest
163849,16000,Midwest
163929,16000,Midwest
164308,16000,Midwest
166794,16000,Midwest
164412,16000,Midwest
164608,16000,Midwest
164649,16000,Midwest
167165,16000,Midwest
162071,16000,Midwest
167764,16000,Midwest
168418,16000,Midwest
165637,16000,Midwest
168695,16000,Midwest
165811,16000,Midwest
169190,16000,Midwest
166077,16000,Midwest
169437,16000,Midwest
169466,16000,Midwest
162584,16000,Midwest
162917,16000,Midwest
163428,16000,Midwest
166326,16000,Midwest
161898,16000,Midwest
166385,16000,Midwest
163852,16000,Midwest
164206,16000,Midwest
164229,16000,Midwest
166766,16000,Midwest
166782,16000,Midwest
164385,16000,Midwest
164383,16000,Midwest
164464,16000,Midwest
164463,16000,Midwest
164573,16000,Midwest
167004,16000,Midwest
167027,16000,Midwest
164994,16000,Midwest
162084,16000,Midwest
165168,16000,Midwest
167673,16000,Midwest
167930,16000,Midwest
168254,16000,Midwest
165732,16000,Midwest
168934,16000,Midwest
169300,16000,Midwest
169323,16000,Midwest
162760,16000,Midwest
166178,16000,Midwest
163013,16000,Midwest
163324,16000,Midwest
166255,16000,Midwest
163579,16000,Midwest
163681,16000,Midwest
163717,16000,Midwest
166543,16000,Midwest
161829,16000,Midwest
166803,16000,Midwest
164563,16000,Midwest
161886,16000,Midwest
167274,16000,Midwest
165024,16000,Midwest
167652,16000,Midwest
168268,16000,Midwest
168428,16000,Midwest
168894,16000,Midwest
165902,16000,Midwest
169000,16000,Midwest
169150,16000,Midwest
169195,16000,Midwest
169388,16000,Midwest
169396,16000,Midwest
162275,16000,Midwest
162358,16000,Midwest
161871,16000,Midwest
162686,16000,Midwest
162988,16000,Midwest
161809,16000,Midwest
164362,16000,Midwest
166784,16000,Midwest
166852,16000,Midwest
164789,16000,Midwest
164983,16000,Midwest
165042,16000,Midwest
167547,16000,Midwest
167571,16000,Midwest
165212,16000,Midwest
165208,16000,Midwest
165221,16000,Midwest
167763,16000,Midwest
167896,16000,Midwest
167999,16000,Midwest
162133,16000,Midwest
168839,16000,Midwest
169053,16000,Midwest
169490,16000,Midwest
169604,16000,Midwest
162203,16000,Midwest
162264,16000,Midwest
162819,16000,Midwest
162940,16000,Midwest
166185,16000,Midwest
163214,16000,Midwest
166226,16000,Midwest
163274,16000,Midwest
161918,16000,Midwest
163419,16000,Midwest
163810,16000,Midwest
166511,16000,Midwest
164053,16000,Midwest
164121,16000,Midwest
164341,16000,Midwest
164386,16000,Midwest
166938,16000,Midwest
164568,16000,Midwest
164622,16000,Midwest
164695,16000,Midwest
167070,16000,Midwest
164714,16000,Midwest
164749,16000,Midwest
167147,16000,Midwest
165035,16000,Midwest
167536,16000,Midwest
167597,16000,Midwest
167665,16000,Midwest
167841,16000,Midwest
168202,16000,Midwest
168541,16000,Midwest
165701,16000,Midwest
168624,16000,Midwest
168611,16000,Midwest
168976,16000,Midwest
169041,16000,Midwest
169267,16000,Midwest
169467,16000,Midwest
169579,16000,Midwest
162318,16000,Midwest
162374,16000,Midwest
162741,16000,Midwest
162016,16000,Midwest
163092,16000,Midwest
163249,16000,Midwest
163463,16000,Midwest
163477,16000,Midwest
163631,16000,Midwest
163675,16000,Midwest
163859,16000,Midwest
163934,16000,Midwest
166679,16000,Midwest
164238,16000,Midwest
166723,16000,Midwest
166888,16000,Midwest
167166,16000,Midwest
167386,16000,Midwest
167474,16000,Midwest
165143,16000,Midwest
167701,16000,Midwest
165216,16000,Midwest
168343,16000,Midwest
165812,16000,Midwest
169137,16000,Midwest
169450,16000,Midwest
162257,16000,Midwest
162738,16000,Midwest
166183,16000,Midwest
166194,16000,Midwest
163161,16000,Midwest
164018,16000,Midwest
166610,16000,Midwest
166659,16000,Midwest
166721,16000,Midwest
166868,16000,Midwest
164517,16000,Midwest
167082,16000,Midwest
164751,16000,Midwest
167104,16000,Midwest
167288,16000,Midwest
164976,16000,Midwest
167476,16000,Midwest
167495,16000,Midwest
167675,16000,Midwest
165172,16000,Midwest
167786,16000,Midwest
165454,16000,Midwest
168550,16000,Midwest
168641,16000,Midwest
168672,16000,Midwest
168659,16000,Midwest
165995,16000,Midwest
169320,16000,Midwest
169389,16000,Midwest
162006,16000,Midwest
169541,16000,Midwest
162197,16000,Midwest
162753,16000,Midwest
162895,16000,Midwest
162926,16000,Midwest
166230,16000,Midwest
163311,16000,Midwest
163353,16000,Midwest
166264,16000,Midwest
166283,16000,Midwest
161808,16000,Midwest
166310,16000,Midwest
163454,16000,Midwest
166430,16000,Midwest
164137,16000,Midwest
166677,16000,Midwest
166724,16000,Midwest
164360,16000,Midwest
164388,16000,Midwest
166987,16000,Midwest
167163,16000,Midwest
167185,16000,Midwest
164991,16000,Midwest
167704,16000,Midwest
165170,16000,Midwest
165421,16000,Midwest
168175,16000,Midwest
168126,16000,Midwest
168230,16000,Midwest
165648,16000,Midwest
165796,16000,Midwest
165928,16000,Midwest
169042,16000,Midwest
166022,16000,Midwest
169525,16000,Midwest
162491,16000,Midwest
162860,16000,Midwest
163702,16000,Midwest
166451,16000,Midwest
164298,16000,Midwest
164689,16000,Midwest
164709,16000,Midwest
167203,16000,Midwest
167289,16000,Midwest
167317,16000,Midwest
167432,16000,Midwest
167501,16000,Midwest
167743,16000,Midwest
165329,16000,Midwest
165371,16000,Midwest
168013,16000,Midwest
167997,16000,Midwest
168040,16000,Midwest
162109,16000,Midwest
169045,16000,Midwest
169141,16000,Midwest
169224,16000,Midwest
169263,16000,Midwest
169339,16000,Midwest
162168,16000,Midwest
162213,16000,Midwest
162375,16000,Midwest
163033,16000,Midwest
163270,16000,Midwest
166428,16000,Midwest
166562,16000,Midwest
164081,16000,Midwest
164186,16000,Midwest
166776,16000,Midwest
166890,16000,Midwest
166891,16000,Midwest
164825,16000,Midwest
164917,16000,Midwest
164925,16000,Midwest
164957,16000,Midwest
167414,16000,Midwest
167816,16000,Midwest
168199,16000,Midwest
168421,16000,Midwest
165587,16000,Midwest
165688,16000,Midwest
165724,16000,Midwest
165786,16000,Midwest
169206,16000,Midwest
166046,16000,Midwest
169410,16000,Midwest
